"","Day","Plot","Daily_mean","Treatment"
"1",2016-06-24,"10A",16.2083333333333,"A"
"2",2016-06-24,"10B",18.0208333333333,"B"
"3",2016-06-24,"10M",16.9791666666667,"M"
"4",2016-06-24,"10T",17.4375,"T"
"5",2016-06-24,"1A",11.6041666666667,"A"
"6",2016-06-24,"1B",16.7708333333333,"B"
"7",2016-06-24,"1M",15.1875,"M"
"8",2016-06-24,"1T",15.8125,"T"
"9",2016-06-24,"2A",14.75,"A"
"10",2016-06-24,"3A",12.9166666666667,"A"
"11",2016-06-24,"4A",11.4583333333333,"A"
"12",2016-06-24,"4B",15.3125,"B"
"13",2016-06-24,"4M",13.75,"M"
"14",2016-06-24,"4T",13.0625,"T"
"15",2016-06-24,"5A",14.4791666666667,"A"
"16",2016-06-24,"6A",14.5416666666667,"A"
"17",2016-06-24,"7B",16.9166666666667,"B"
"18",2016-06-24,"7M",16.1458333333333,"M"
"19",2016-06-24,"7T",15.6666666666667,"T"
"20",2016-06-24,"8A",14.3958333333333,"A"
"21",2016-06-25,"10A",4.4375,"A"
"22",2016-06-25,"10B",9.29166666666667,"B"
"23",2016-06-25,"10M",7.04166666666667,"M"
"24",2016-06-25,"10T",6.8125,"T"
"25",2016-06-25,"1A",5.72916666666667,"A"
"26",2016-06-25,"1B",12.8541666666667,"B"
"27",2016-06-25,"1M",10.5,"M"
"28",2016-06-25,"1T",11.1458333333333,"T"
"29",2016-06-25,"2A",10,"A"
"30",2016-06-25,"3A",6.64583333333333,"A"
"31",2016-06-25,"4A",3.1875,"A"
"32",2016-06-25,"4B",8.64583333333333,"B"
"33",2016-06-25,"4M",7.10416666666667,"M"
"34",2016-06-25,"4T",6.02083333333333,"T"
"35",2016-06-25,"5A",6.875,"A"
"36",2016-06-25,"6A",5.5625,"A"
"37",2016-06-25,"7B",10.2083333333333,"B"
"38",2016-06-25,"7M",8.52083333333333,"M"
"39",2016-06-25,"7T",7.10416666666667,"T"
