Site,Elevation,Treatment,Soil_moisture,Date,Probe_Type,,,,,
7,1551,T,28.5,13/08/16,HydroSense,,7,1551,T,37.5
7,1551,B,2.6,13/08/16,HydroSense,,7,1551,B,22.25
7,1551,B,1.4,13/08/16,HydroSense,,7,1551,B,25.8
7,1551,B,4.1,13/08/16,HydroSense,,7,1551,B,19.1
8,1684,A,35.3,13/08/16,HydroSense,,8,1684,A,46.75
8,1684,A,42.4,13/08/16,HydroSense,,8,1684,A,48.05
8,1684,A,43.7,13/08/16,HydroSense,,8,1684,A,42.75
9,1799,A,8.7,13/08/16,HydroSense,,9,1799,A,19.55
9,1799,A,12.1,13/08/16,HydroSense,,9,1799,A,26.15
9,1799,A,12.9,13/08/16,HydroSense,,9,1799,A,22.55
10,1926,A,27.9,13/08/16,HydroSense,,10,1926,A,31.95
10,1926,A,29.4,13/08/16,HydroSense,,10,1926,A,26.05
10,1926,A,18.1,13/08/16,HydroSense,,10,1926,A,28
10,1926,M,21.2,13/08/16,HydroSense,,10,1926,M,30.5
10,1926,M,21.5,13/08/16,HydroSense,,10,1926,M,33.7
10,1926,M,21.9,13/08/16,HydroSense,,10,1926,M,34.1
10,1926,T,21.7,13/08/16,HydroSense,,10,1926,T,33.2
10,1926,T,31.4,13/08/16,HydroSense,,10,1926,T,38.25
10,1926,T,25.9,13/08/16,HydroSense,,10,1926,T,29.7
10,1926,B,7.1,13/08/16,HydroSense,,10,1926,B,17.5
10,1926,B,3.6,13/08/16,HydroSense,,10,1926,B,14.4
10,1926,B,6.7,13/08/16,HydroSense,,10,1926,B,24.45
